car_id,brand,model,variant,body_type,year,price,fuel_type,mileage,transmission,seating_capacity,engine_cc,power_hp,torque_nm,safety_rating,safety_features,comfort_features,ground_clearance_mm,boot_space_liters,maintenance_cost_annual,warranty_years,colors_available,resale_value_3yr_percent,resale_value_5yr_percent,city_suitability_score,highway_suitability_score,mileage_score,performance_score,safety_score,comfort_score
11,Maruti Suzuki,Swift,Mid,hatchback,2021,743623,Petrol,20.1,Manual,5,1200,75,103,3,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",178,394,22647,4,10,65.7,43.6,8.8,7.3,6.7,3.8,6,10.0
12,Toyota,Glanza,SX,hatchback,2025,605804,Petrol,18.8,Automatic,5,800,92,117,5,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, AC, Power Steering",171,322,14027,5,7,64.2,54.8,9.3,6.0,6.3,4.6,10,8.0
13,Renault,Kiger,Top,suv,2020,3206955,CNG,23.3,CVT,5,2000,164,220,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",183,223,104821,4,5,60.0,42.0,8.0,8.3,7.8,8.2,10,12.0
14,MG,Hector Plus,Mid,mpv,2025,1638954,Petrol,22.6,Manual,7,2500,170,211,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",190,210,62245,3,6,65.0,45.3,7.1,9.7,7.5,8.5,6,10.0
15,Maruti Suzuki,Ciaz,EX,sedan,2021,1033365,CNG,23.2,AMT,5,1200,110,139,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",174,458,25274,5,8,59.9,53.0,8.9,7.6,7.7,5.5,10,10.0
16,Renault,Triber,Base,mpv,2021,1548967,Petrol,23.6,Manual,8,1500,176,234,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",184,330,34561,5,7,55.7,46.5,7.0,9.6,7.9,8.8,10,10.0
17,Mahindra,Scorpio N,Mid,suv,2025,3833312,Diesel,27.0,Manual,5,2500,139,194,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",198,341,86424,4,8,65.2,53.5,7.2,8.6,9.0,6.9,8,12.0
18,Renault,Kwid,VX,hatchback,2022,885482,Petrol,21.4,AMT,5,1000,73,98,5,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, AC, Power Steering",169,381,29466,5,5,67.3,51.3,9.3,6.4,7.1,3.6,10,8.0
19,Maruti Suzuki,Swift,SX,hatchback,2024,1053045,Petrol,21.2,Automatic,5,800,84,113,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",173,306,24765,5,8,55.8,43.7,9.7,6.9,7.1,4.2,8,10.0
20,MG,Hector,Alpha,suv,2020,6320506,Diesel,26.8,DCT,7,1600,181,232,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",211,360,156653,4,10,59.3,44.1,6.6,9.1,8.9,9.1,10,12.0
21,Tata,Tigor,EX,sedan,2024,918371,Petrol,20.5,AMT,5,1500,101,137,4,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",177,549,35744,3,8,62.2,54.1,7.6,7.8,6.8,5.0,8,10.0
22,MG,Comet EV,ZX,hatchback,2025,1499598,Electric,433.8,Automatic,5,0,199,293,5,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",178,394,49876,3,8,57.0,46.9,8.1,6.8,10.0,9.9,10,10.0
23,Mahindra,Marazzo,ZX,mpv,2020,3338622,Petrol,16.5,Automatic,8,2200,102,145,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",176,257,110184,5,5,69.2,43.0,6.0,8.3,5.5,5.1,6,12.0
24,Hyundai,Verna,VX,sedan,2025,1008230,Petrol,14.0,Manual,5,1500,86,118,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",187,450,21697,5,6,56.5,51.6,8.7,8.2,4.7,4.3,10,10.0
25,Hyundai,i20,Alpha,hatchback,2022,1256226,Petrol,16.4,Automatic,5,1000,91,112,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",173,295,43560,5,9,67.1,48.1,9.0,6.9,5.5,4.5,10,10.0
26,Nissan,Magnite,LX,suv,2022,4929761,Diesel,17.0,AMT,5,2500,178,249,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",211,283,116523,3,7,60.1,53.2,7.4,8.6,5.7,8.9,8,12.0
27,Maruti Suzuki,Dzire,LX,sedan,2022,1214394,Petrol,17.9,AMT,5,1600,111,148,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",177,462,31724,5,8,63.3,45.2,9.0,8.1,6.0,5.6,6,10.0
28,Toyota,Innova Hycross,VX,mpv,2024,1567280,Hybrid,22.5,Manual,7,1500,195,265,5,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",171,389,46523,5,9,64.0,54.7,7.7,8.6,7.5,9.8,10,10.0
29,Honda,Jazz,VX,hatchback,2020,847592,Petrol,12.7,AMT,5,800,60,82,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",165,263,21231,4,5,61.0,41.1,9.3,6.1,4.2,3.0,8,10.0
30,Tata,Punch,LX,suv,2024,2852520,Petrol,19.3,AMT,7,2200,156,201,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",207,278,89490,3,10,56.5,51.4,7.3,8.5,6.4,7.8,8,12.0
31,Hyundai,Aura,Top,sedan,2022,1893739,Petrol,13.9,Manual,5,1600,118,158,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",187,516,40570,3,10,63.8,52.1,7.4,7.2,4.6,5.9,6,10.0
32,Honda,Amaze,Base,sedan,2024,1793713,Petrol,15.7,Manual,5,1500,87,116,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",181,538,53588,3,5,68.3,51.0,8.2,7.1,5.2,4.3,8,10.0
33,Honda,Jazz,SX,hatchback,2021,830001,Petrol,17.3,Automatic,5,1000,100,144,5,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",173,335,21929,3,7,61.2,47.4,9.3,6.8,5.8,5.0,10,10.0
34,Renault,Kwid,Mid,hatchback,2022,947379,Petrol,15.9,Manual,7,1200,94,125,3,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",180,363,33347,3,9,57.0,44.3,9.8,7.0,5.3,4.7,6,10.0
35,Maruti Suzuki,Dzire,VX,sedan,2023,954567,Petrol,18.6,Manual,5,1200,109,161,4,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",187,474,28806,4,8,69.7,43.7,8.1,7.8,6.2,5.5,8,10.0
36,Hyundai,Tucson,ZX,suv,2024,937973,Diesel,22.1,DCT,5,2500,174,260,4,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",214,323,25233,5,8,61.8,44.8,6.4,9.4,7.4,8.7,8,10.0
37,Mahindra,Marazzo,ZX,mpv,2020,3118698,Petrol,20.5,CVT,8,2200,104,128,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",175,225,116900,4,9,68.7,40.2,6.3,9.7,6.8,5.2,10,12.0
38,Tata,Altroz,VX,hatchback,2021,581059,Petrol,20.3,Automatic,5,1000,80,111,5,"Dual Airbags, ABS, EBD","Power Windows, Central Locking",175,388,12038,3,10,65.3,44.3,8.5,6.2,6.8,4.0,10,4.0
39,Hyundai,i20,Top,hatchback,2021,582692,Petrol,22.8,Automatic,5,1000,82,107,3,"Dual Airbags, ABS, EBD","Power Windows, Central Locking",176,355,18249,3,6,56.2,53.1,9.2,6.5,7.6,4.1,6,4.0
40,Mahindra,Marazzo,SX,mpv,2025,3301695,Petrol,12.1,Automatic,8,1600,109,145,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",183,276,108225,4,7,61.9,44.5,8.0,9.7,4.0,5.5,8,12.0
41,Hyundai,Verna,ZX,sedan,2021,1584885,Petrol,23.9,Automatic,5,1600,105,134,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",174,458,50940,4,10,57.9,43.8,8.5,8.5,8.0,5.2,8,10.0
42,Tata,Tiago,VX,hatchback,2022,939100,Petrol,12.4,Manual,5,1000,80,113,3,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",176,378,35939,3,8,69.5,44.4,9.7,7.6,4.1,4.0,6,10.0
43,MG,Comet EV,LX,hatchback,2022,1257741,Electric,472.0,Automatic,7,0,173,212,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",174,344,42079,5,9,60.7,49.6,8.7,7.3,10.0,8.7,8,10.0
44,MG,Comet EV,LX,hatchback,2021,1365700,Electric,429.5,Automatic,5,0,246,325,3,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",175,279,29968,5,8,61.8,50.1,9.5,7.9,10.0,10.0,6,10.0
45,MG,Hector Plus,Base,mpv,2021,2665189,Petrol,14.6,Manual,7,1500,187,245,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",185,291,56531,4,5,69.2,52.4,6.2,8.4,4.9,9.4,10,12.0
46,Nissan,Magnite,ZX,hatchback,2021,1289602,Petrol,13.5,Automatic,5,1200,73,100,5,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",164,250,32943,3,9,58.8,42.6,9.3,6.1,4.5,3.6,10,10.0
47,Maruti Suzuki,Grand Vitara,ZX,suv,2024,5500654,Petrol,13.5,Automatic,7,1500,160,213,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",217,227,159739,3,5,65.9,53.6,7.3,8.6,4.5,8.0,8,12.0
48,Maruti Suzuki,Celerio,EX,hatchback,2024,1081385,Petrol,13.3,Manual,5,1000,98,121,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",179,385,28005,5,8,56.5,50.5,9.7,7.3,4.4,4.9,6,10.0
49,Kia,Carens,EX,mpv,2020,3180983,Petrol,17.4,Manual,7,2200,140,195,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",169,375,122339,3,5,56.4,41.4,7.5,9.6,5.8,7.0,8,12.0
50,Renault,Kwid,Mid,hatchback,2024,970003,Petrol,22.5,Manual,5,1200,79,103,4,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, AC, Power Steering",175,307,35837,4,7,56.7,44.2,8.5,6.9,7.5,4.0,8,8.0
51,Renault,Kwid,Base,hatchback,2021,723993,Petrol,20.4,Manual,5,800,71,103,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, AC, Power Steering",164,257,15808,5,8,61.3,45.1,8.7,7.4,6.8,3.5,8,8.0
52,Nissan,Magnite,Top,hatchback,2022,631207,Petrol,19.4,Manual,5,1200,87,117,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, AC, Power Steering",176,279,16981,3,10,65.2,47.3,9.3,6.1,6.5,4.3,8,8.0
53,Maruti Suzuki,Ciaz,LX,sedan,2022,1327715,Petrol,21.2,Manual,5,1200,80,107,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",182,458,39838,5,5,61.0,51.1,7.9,7.9,7.1,4.0,8,10.0
54,Hyundai,Kona Electric,EX,suv,2022,7356771,Electric,414.7,Automatic,5,0,109,144,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",190,358,214831,5,5,61.6,41.6,6.9,8.8,10.0,5.5,10,12.0
55,Honda,Elevate,ZX,suv,2021,2153481,Diesel,16.9,CVT,7,2000,144,204,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",189,260,47497,4,6,64.0,51.4,7.3,8.4,5.6,7.2,10,12.0
56,MG,Hector Plus,ZX,mpv,2022,1412336,Diesel,17.8,Manual,8,2000,135,185,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",179,315,29309,4,5,64.7,54.7,6.2,9.2,5.9,6.8,8,10.0
57,Kia,Carens,SX,mpv,2020,3353918,CNG,23.9,Manual,7,2200,113,163,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",187,221,100922,3,6,65.6,54.9,7.0,9.2,8.0,5.6,10,12.0
58,Toyota,Hilux,EX,suv,2025,4384052,Petrol,19.2,Manual,5,1500,171,240,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",218,238,116910,5,6,68.8,44.7,7.3,9.3,6.4,8.6,8,12.0
59,Tata,Altroz,Alpha,hatchback,2021,720901,Petrol,21.5,Automatic,7,1200,87,117,3,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, AC, Power Steering",166,337,28081,4,6,70.0,42.3,8.6,7.6,7.2,4.3,6,8.0
60,Renault,Kwid,Top,hatchback,2021,766519,Petrol,13.9,CVT,7,1200,88,106,4,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",179,322,26864,4,9,58.6,54.5,9.6,7.8,4.6,4.4,8,10.0
61,Mahindra,Bolero,SX,suv,2025,5054377,Petrol,16.6,Manual,5,2500,117,171,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",210,295,157144,3,9,67.8,44.3,7.5,8.5,5.5,5.8,6,12.0
62,Mahindra,Marazzo,Base,mpv,2021,2368508,Petrol,16.8,AMT,7,1500,147,186,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",168,382,78158,3,5,59.3,52.4,7.4,8.3,5.6,7.3,8,12.0
63,MG,Hector Plus,Mid,mpv,2024,1641199,Petrol,14.6,Manual,8,2000,130,167,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",167,228,60287,4,9,55.2,47.7,6.5,8.3,4.9,6.5,6,10.0
64,Nissan,Magnite,EX,suv,2025,4656203,Petrol,18.3,Automatic,5,2500,164,235,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",181,299,174452,3,8,69.7,43.8,6.0,9.6,6.1,8.2,8,12.0
65,Hyundai,Creta,Base,suv,2020,4597539,Petrol,19.7,Manual,7,1600,108,152,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",182,275,110487,3,7,69.0,47.7,8.0,9.1,6.6,5.4,10,12.0
66,Honda,Jazz,VX,hatchback,2024,897657,Petrol,21.4,Manual,5,1000,87,127,5,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",165,377,30377,4,7,67.0,50.9,8.2,7.2,7.1,4.3,10,10.0
67,Tata,Harrier,Mid,suv,2025,4915698,Petrol,15.7,AMT,5,2000,157,190,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",202,357,196446,4,5,56.1,49.6,6.7,9.6,5.2,7.9,10,12.0
68,Tata,Tiago,SX,hatchback,2022,940947,Petrol,12.8,AMT,5,1200,62,85,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",174,269,29619,5,8,59.7,44.2,9.9,6.1,4.3,3.1,8,10.0
69,Renault,Triber,VX,mpv,2025,2039967,Petrol,20.4,AMT,8,1600,115,142,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",170,382,58959,3,7,65.0,50.6,7.1,8.6,6.8,5.8,6,12.0
70,Honda,Amaze,ZX,sedan,2020,1327931,Petrol,13.5,CVT,5,1200,111,134,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",190,541,30005,3,7,61.0,50.8,8.0,7.8,4.5,5.6,8,10.0
71,Tata,Punch,SX,suv,2021,2671700,Petrol,13.5,AMT,5,2500,107,155,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",199,242,62088,5,7,69.2,47.8,6.6,8.2,4.5,5.4,8,12.0
72,Mahindra,XUV700,VX,suv,2024,2392170,Petrol,19.7,Automatic,5,2500,143,207,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",181,220,50018,5,7,64.8,51.5,6.8,9.3,6.6,7.1,8,12.0
73,MG,ZS EV,VX,suv,2022,6899005,Electric,396.6,Automatic,5,0,196,239,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",208,306,204797,3,9,57.2,52.9,6.6,10.0,10.0,9.8,6,12.0
74,Toyota,Innova Crysta,ZX,mpv,2021,2358098,Petrol,13.3,Automatic,8,2000,157,200,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",174,298,87917,4,6,67.2,54.0,7.4,8.4,4.4,7.9,6,12.0
75,Renault,Triber,VX,mpv,2025,2939252,Petrol,13.1,Manual,8,1600,174,227,3,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",180,352,110653,5,8,59.3,40.1,6.2,8.3,4.4,8.7,6,12.0
